日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,25-23-23,57-58-52,25-25-30,51-55-59,25-30-29,57-55-58,27-26-28,52-57-57,34-37-36,10-08-06,35-36-35,05-10-05
2,27-22-22,52-57-51,25-26-29,57-54-58,27-27-28,52-56-57,26-25-27,10-06-06,35-38-35,05-07-05,35-33-34,09-07-04
3,26-21-21,10-06-10,27-23-28,52-53-57,26-28-27,10-03-06,34-34-36,06-05-05,35-35-34,09-06-04,35-34-33,09-08-03
4,34-40-40,09-06-09,26-24-27,10-02-06,34-35-36,05-04-05,35-33-35,09-04-04,35-36-33,09-05-03,31-31-32,01-05-02
5,35-39-39,03-03-08,34-31-36,09-01-09,35-36-35,09-01-04,35-32-34,09-03-03,31-33-32,01-04-02,36-32-31,10-06-01
6,33-38-37,10-04-07,33-32-39,03-10-08,33-33-38,10-02-07,35-31-33,01-02-02,36-34-31,10-03-01,34-39-40,08-03-10
7,36-37-38,08-01-06,33-39-38,10-09-07,36-34-37,08-09-06,34-40-36,10-01-01,34-31-40,08-02-10,39-40-39,07-04-03
8,34-36-35,02-02-05,36-40-37,08-08-06,34-31-36,02-10-04,32-39-35,07-09-04,33-32-33,09-01-09,37-37-32,07-01-02
9,32-35-36,07-09-04,34-37-36,02-07-05,32-32-35,07-07-04,33-38-34,07-10-03,37-39-32,07-10-02,34-38-31,10-02-01
10,33-34-33,07-10-03,32-38-35,07-06-04,33-39-34,07-08-03,33-37-33,07-07-02,34-40-31,10-09-01,42-45-50,18-19-20
11,33-33-34,07-07-02,33-35-34,07-05-03,33-40-33,07-05-02,37-36-32,10-08-01,42-47-50,18-18-20,46-46-49,16-20-19
12,37-32-31,10-06-01,33-36-33,07-04-02,37-37-32,10-06-01,34-35-31,18-15-20,46-48-49,16-17-19,41-43-48,17-17-18
13,34-31-32,18-13-20,37-33-32,10-03-01,34-38-31,18-13-20,42-44-50,16-16-19,41-45-48,17-16-18,41-44-47,17-18-17
14,42-50-49,12-14-17,34-34-31,18-12-20,42-47-50,12-14-19,46-43-49,17-13-18,41-46-47,17-15-17,41-41-46,11-15-16
15,48-49-50,18-11-16,42-41-50,12-19-17,48-48-49,17-11-18,41-42-48,17-14-17,41-43-46,11-14-16,44-42-45,18-16-15
16,41-46-47,15-12-15,48-42-47,18-18-16,41-45-46,15-12-15,41-41-47,19-15-16,44-44-45,18-13-15,42-45-44,16-13-14
17,49-45-47,19-19-12,44-50-46,15-17-15,49-46-45,19-12-14,45-48-44,18-16-15,42-41-44,16-12-14,46-46-43,12-14-11
18,45-44-46,17-20-11,49-49-45,19-11-12,45-43-44,17-11-13,43-47-43,14-13-12,46-42-41,12-11-13,41-43-50,18-12-20
19,43-41-45,19-15-20,45-48-42,17-12-11,43-44-41,19-20-20,48-46-42,12-14-11,42-50-50,15-16-20,49-44-49,13-11-19
20,49-50-44,18-16-19,43-47-41,19-19-20,49-41-50,12-19-19,46-49-49,18-11-20,50-49-49,13-15-19,53-51-58,29-30-26
21,44-49-43,18-13-18,49-46-50,18-20-19,44-48-49,17-18-18,42-48-48,17-12-17,53-58-56,29-24-28,51-52-55,27-29-25
22,42-48-42,17-14-17,44-45-49,18-17-18,42-45-48,18-17-17,48-47-47,29-29-26,51-57-55,27-26-25,53-59-54,23-28-24
23,47-47-41,27-21-26,42-44-48,17-18-17,47-46-47,27-26-26,51-56-56,27-28-25,53-56-54,23-23-24,52-58-53,28-27-23
24,51-56-60,27-22-25,47-43-47,27-25-26,51-53-56,27-25-25,51-55-55,23-25-24,52-55-53,28-24-23,52-55-52,26-26-22
25,51-55-59,23-29-24,51-52-56,27-26-25,51-54-55,23-24-24,53-54-54,28-26-23,52-54-52,26-21-22,51-56-51,21-25-21
26,53-54-58,28-30-23,51-51-55,23-23-24,53-51-54,28-21-23,52-53-53,26-23-22,51-53-51,21-22-21,51-53-60,25-40-30
27,52-53-57,26-27-22,53-60-54,28-24-23,52-52-53,26-30-22,51-52-52,21-24-21,51-52-60,25-29-30,51-54-59,25-23-29
28,60-52-56,21-28-21,52-59-53,26-21-22,60-59-52,21-29-21,52-51-51,25-21-30,51-51-59,25-30-29,57-51-58,27-22-28
29,51-51-55,,60-58-52,21-22-21,51-60-51,25-28-30,51-60-60,25-22-29,57-60-58,27-27-28,52-52-57,26-21-27
30,51-60-54,,51-57-51,25-29-30,51-57-60,25-27-29,51-59-59,27-29-28,52-59-57,26-28-27,10-09-06,34-40-36
31,51-59-53,,51-56-60,,51-58-59,,57-58-58,26-30-27,,34-35-36,,35-39-35
